aspect,category,term,count,rank
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Medical Refusal,suicide,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,away,3,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,it,3,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,drift,2,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,slowly,2,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,accident,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,allergic,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,an,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,can,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,chok,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other,death,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,my,2,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,an,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,bench,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,death,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,good,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,increas,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,kill,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,method,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,motorbike,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Other Violent Methods,myself,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,around,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,drunk,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,get,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,my,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,neck,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,noose,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,out,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,pass,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,pill,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Other Violent Methods/Poisoning,really,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Passive Suicidal Ideation (No Intention or Plan),die,2,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Passive Suicidal Ideation (No Intention or Plan),bed,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Passive Suicidal Ideation (No Intention or Plan),down,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Passive Suicidal Ideation (No Intention or Plan),from,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Passive Suicidal Ideation (No Intention or Plan),in,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Passive Suicidal Ideation (No Intention or Plan),lie,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Passive Suicidal Ideation (No Intention or Plan),thi,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Passive Suicidal Ideation (No Intention or Plan),till,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,pill,28,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,of,13,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,kill,8,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,overdose,8,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,drink,7,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,sleep,7,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,and,6,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,poison,6,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,the,6,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning,bottle,5,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,bleach,4,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,drink,3,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,and,2,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,as,2,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,with,2,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,alcohol,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,antifreeze,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,before,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,can,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Ingestion of household chemicals,car,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,poison,8,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,cyanide,7,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,myself,3,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,to,3,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,capsule,2,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,day,2,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,die,2,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,kcl,2,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,of,2,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Other poisons,one,2,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,drug,13,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,of,13,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,od,9,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,myself,8,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,and,7,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,heroin,7,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,to,7,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,drink,5,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,kill,5,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of illicit drugs,as,4,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,pill,279,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,of,161,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,and,67,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,overdose,60,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,bottle,54,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,sleep,48,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,on,46,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,take,44,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,my,42,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication,the,38,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Drowning/Immersion in water (ocean,and,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Drowning/Immersion in water (ocean,into,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Drowning/Immersion in water (ocean,ocean,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Drowning/Immersion in water (ocean,pill,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Drowning/Immersion in water (ocean,some,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Drowning/Immersion in water (ocean,take,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Drowning/Immersion in water (ocean,the,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Drowning/Immersion in water (ocean,walk,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Overdose of illicit drugs,and,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Overdose of illicit drugs,heroin,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Overdose of prescription medication and Overdose of illicit drugs,xanax,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Plant-based poisons,and,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Plant-based poisons,belladonna,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Plant-based poisons,glory,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Plant-based poisons,jimson,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Plant-based poisons,morn,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Plant-based poisons,nightshade,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning/Plant-based poisons,weed,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,agent,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,chemical,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,clean,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,cocktail,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,duty,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,heavy,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,many,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,of,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,out,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Poisoning:Ingestion of household chemicals,the,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Preparation,cap,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Preparation,off,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,my,6,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,wrist,5,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,slit,4,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,throat,3,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,and,2,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,ble,2,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,cut,2,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,cutt,2,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,myself,2,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects,open,2,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,in,2,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,my,2,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,throat,2,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,drown,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,from,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,front,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,hang,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,noose,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,of,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Cutting,slit,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,knife,17,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,my,16,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,throat,11,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,in,8,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,heart,5,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,myself,5,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,slit,5,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,the,5,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,it,4,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives,kitchen,3,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,arrest,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,blood,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,cardiac,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,cutt,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,enough,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,go,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,into,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,lose,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,myself,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Knives and Suicide Methods or actions/Other Violent Methods/Blunt force trauma,so,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Other sharp objects,my,2,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Other sharp objects,artery,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Other sharp objects,both,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Other sharp objects,in,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Other sharp objects,of,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Other sharp objects,radial,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Other sharp objects,slit,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Other sharp objects,wrist,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,artery,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,cut,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,extremely,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,major,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,my,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,of,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,one,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,razor,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,sharp,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Sharp Objects/Razor blades,with,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,eat,6,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,myself,6,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,starve,6,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,to,5,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,death,4,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,die,4,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,starv,4,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,day,3,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,for,3,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation,not,3,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation and Dehydration,and,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation and Dehydration,drink,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation and Dehydration,eat,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Starvation and Dehydration,stopp,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,hang,14,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,myself,14,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,my,12,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,and,9,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,bag,7,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,rope,7,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,breath,6,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,noose,6,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,suffocate,5,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation,the,5,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,hang,194,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,myself,149,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,rope,60,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,my,45,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,the,40,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,noose,38,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,belt,37,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,neck,28,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,around,21,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging,tied,15,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging and Suicide Methods or actions/Sharp Objects/Cutting,cutt,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging and Suicide Methods or actions/Sharp Objects/Cutting,hang,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Hanging and Suicide Methods or actions/Sharp Objects/Cutting,or,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,harder,2,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,myself,2,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,strangle,2,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,and,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,artery,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,bannister,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,carotid,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,death,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,it,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Strangulation,jugular,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,bag,3,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,death,3,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,to,3,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,head,2,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,in,2,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,my,2,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,myself,2,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,over,2,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,bed,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Suffocation/Suffocation by plastic bag,burn,1,10
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Unspecified,kill,2,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Unspecified,my,2,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Unspecified,bully,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions/Unspecified,self,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions:  General preparation for suicide,everyth,1,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions:  General preparation for suicide,ready,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,gun,3,1
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,brain,1,2
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,bullet,1,3
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,my,1,4
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,myself,1,5
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,off,1,6
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,revolver,1,7
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,roulette,1,8
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,russian,1,9
"Methods or actions of Suicide, Self Harm or harming others",Suicide Methods or actions: Firearms,through,1,10
